topic_id,topic_name,keywords,chunk_count,sample_chunks,your_decision,new_name,merge_with,notes
50,50_slat_slats_piston_extension,"slat, slats, piston, extension, leading edge, edge, mach, leading, edge slat, flapslat",31,"[AAR0201.pdf_chunk_0149]: [ANALYSIS] The captain did not brief the first officer about what to expect or what to do if these configuration changes resulted in excessive flight control pressures or loss of control of the airplane. Further, the captain did not specify that the flaps should be extended at a slower-than-normal r... ||| [AAR7917.pdf_chunk_0075]: [PROBABLE CAUSE] The design of the leading edge slat system did not include positive . mechanical locking devices to prevent movement of the slats by external loads following a failure of the primary controls. Certification was based upon acceptable flight characteristics with an asymmetrical leadin... ||| [AAR8108.pdf_chunk_0026]: [ANALYSIS] The flaps and slats retracted properly and ori schedule after takeoff, and the flap/slat position indicating system displayed no abormai silat or flap condition.  2.4 Extension of the No. 7 Leading Edge Slat  Aecording to FDR information, about 9 minutes after the aircraft arrived at 29,0...",,,,
51,51_fuel_pounds_weight_lbs,"fuel, pounds, weight, lbs, gallons, weight balance, balance, calculations, captain, flight",30,"[AAB0205.pdf_chunk_0031]: [ANALYSIS] Further, the Safety  Board notes that during simulator tests, when a left engine failure was induced along with a  failed right engine on an ILS approach, the airplane remained controllable with minimal  difficulty. However, the airplane was more difficult to control and required constant... ||| [AAB0205.pdf_chunk_0032]: [ANALYSIS] The Safety Board pilots were briefed that the simulated engine failures would occur but did not  know when.  31  NTSB/AAB-02/05  Statements from the carrier’s owner and the first officer’s fiancée and information from  the weight and balance form completed by the accident crew suggest tha... ||| [AAB0205.pdf_chunk_0033]: [ANALYSIS] Although low fuel quantity annunciator lights for each tank illuminate on  the forward instrument panel when the fuel quantity decreases below 200 pounds, Safety Board  investigators determined in simulations that these annunciator lights were easily overlooked,  even when illuminated. Fl...",,,,
52,52_approach_probable cause_probable_cause,"approach, probable cause, probable, cause, descent, altitude, transportation, national transportation, transportation safety, board",29,"[AAB0203.pdf_chunk_0048]: [ANALYSIS] NTSB/AAB-02/03  41   • The presence of a passenger on the jumpseat, especially if it were the  charter customer, most likely further heightened the pressure on the flight  crew to land at ASE.    4. Darkness, reduced visibility, and light snow showers near the airport at  the time of the... ||| [AAB0601.pdf_chunk_0016]: [ANALYSIS] However, the accident approach profile is consistent with the pilots using the  GPS data to navigate to the BALES LOM and then failing to notice that the GPS had  autosequenced to MTV after the airplane passed BALES. Once the airplane was inbound,  the pilots might have mistakenly believe... ||| [AAR0601.pdf_chunk_0063]: [CONCLUSIONS] Current regulations permitting pilots to descend below the minimum descent altitude (MDA) into a region where obstacle clearance is not assured may result in reduced margins of safety for nonprecision approaches, especially in conditions of low ceilings, reduced visibility, and/or at n...",,,,
53,53_cargo_compartment_cargo compartment_container,"cargo, compartment, cargo compartment, container, smoke, containers, compartments, synthesizer, oxygen, cargo compartments",29,"[AAR0707.pdf_chunk_0054]: [ANALYSIS] However, the flight engineer saw no smoke either  of the two times that he visually checked the main cargo compartment. This evidence  indicates that the fire initially did not generate a significant amount of smoke and was  most likely initiated as a smoldering fire inside a cargo contai... ||| [AAR0707.pdf_chunk_0055]: [ANALYSIS] Origin and Cause of Fire 2.4  Despite the length of time that the fire burned and the resulting destruction of  potentially helpful evidence, the postfire condition of the cargo containers and contents  and the surrounding airplane structure were examined for any evidence indicating  the... ||| [AAR0707.pdf_chunk_0056]: [ANALYSIS] The lowest point of fuselage damage,  which could be indicative of the point of origin of the fire, was located in the right aft  portion of container 12 near container  13, where the damage extended down to the  cargo compartment floor. Container 14 exhibited heavy damage to the contents...",,,,
54,54_tour_air tour_adsb_hawaii,"tour, air tour, adsb, hawaii, air, operators, tour operators, sfar, sfar 71, infrastructure",29,"[AAR0602.pdf_chunk_0059]: [ANALYSIS] Department of Transportation, Federal Aviation Administration, Report on the Interfaces Between Flightcrews and Modern Flight Deck Systems (Washington, DC: FAA, 1996). Analysis 52 Aircraft Accident Report flight. In addition to the lack of radar data for low-flying aircraft in the Gulf of... ||| [AAR0602.pdf_chunk_0060]: [ANALYSIS] As a result, helicopter pilots transporting oil service personnel to and from offshore platforms would not be afforded the same level of safety as general aviation pilots operating in Alaska. ADS-B technology has many potential benefits for flight operations in the Gulf of Mexico. For exa... ||| [AAR0602.pdf_chunk_0061]: [ANALYSIS] At that time, the FAA proposed fiscal year 2007 for the start date for implementation of the program and fiscal year 2010 as the target date for completion of the first segment of ADS-B infrastructure deployment. On March 1, 2006, the FAA verbally informed the Safety Board that the Gulf o...",,,,
55,55_vortex_core_vortices_rotors,"vortex, core, vortices, rotors, rotor, dc9, pressure, turbulence, feet, wake",28,"[AAR0101.pdf_chunk_0127]: [ANALYSIS] They also encountered turbulence during the entire flight from DEN until the initiation of the uncontrollable right roll. The Safety Board believes that immediately before the loss of control, the turbulence encountered by flight 585 was moderate. Moderate turbulence was forecast by the N... ||| [AAR0101.pdf_chunk_0128]: [ANALYSIS] In a .4 radian per second vortex the pressure decrease in a core with a radius of 250 feet would amount to about 9.2 millibars. At the core edge, the decrease would have been about 4.6 millibars and at a radius of 600 feet, the decrease would have been about .8 millibars. These pressure d... ||| [AAR0101.pdf_chunk_0129]: [ANALYSIS] At 200 feet above the core center, the increase in pressure amounts to about 1 millibar (corresponding to an indicated altitude decrease of about 30 feet). About 200 feet below the core center near the core edge, a pressure decrease of about 25 millibars (corresponding to an indicated alt...",,,,
56,56_fan_fan blade_cowl_blade,"fan, fan blade, cowl, blade, fbo, fan case, engine, fan blades, case, blades",28,"[AAR-90-06.pdf_chunk_0068]: [ANALYSIS] The results of the simulator experiments showed that a  landing attempt under these conditions involves many variables that affect  the extent of controllability during the approach and landing. In general,  the simulator reenactments indicated that landing parameters, such as speed,  tou... ||| [AAR1003.pdf_chunk_0088]: [ANALYSIS] A more detailed DNA analysis completed in February 2010 was unable to verify  whether more than one male goose was ingested into the right engine. NTSB  Aircraft Accident Report  2.2.3.1 Engine Spinner, Fan Blade, and Fan Inlet Case Damage  If a bird enters the engine inlet near the inner... ||| [AAR1903.pdf_chunk_0000]: [PROBABLE CAUSE] Probable Cause  The National Transportation Safety Board (NTSB) determines that the probable cause of  this accident was a low-cycle fatigue crack in the dovetail of fan blade No. 13, which resulted in  the fan blade separating in flight and impacting the engine fan case at a locati...",,,,
57,57_turbulence_aircraft_control_wing,"turbulence, aircraft, control, wing, severe, area, upset, loss, structural, air turbulence",28,"[AAR0101.pdf_chunk_0119]: [ANALYSIS] Since there is no evidence of an interruption of electrical power to either of the recorders, the Safety Board concludes that the electrical busses and the respective electrical motor-driven hydraulic pumps remained powered throughout the flight. With both the A and B hydraulic systems op... ||| [AAR0101.pdf_chunk_0120]: [ANALYSIS] Examination of the horizontal stabilizer indicated that there was no preimpact malfunction or failure of the horizontal stabilizer. Numerous examinations of the wreckage failed to produce evidence of preimpact structural problems. Engine mount separation points showed evidence of impact o... ||| [AAR0101.pdf_chunk_0126]: [ANALYSIS] In the worst case, an internal leakage was produced with a 66-percent drop in maximum pressure differential. This condition would limit the rate of rudder movement and the maximum deflection that could be achieved against aerodynamic loads. Nonetheless, the Safety Board is concerned that...",,,,
58,58_hazardous materials_hazardous_materials_undeclared,"hazardous materials, hazardous, materials, undeclared, undeclared hazardous, shipping, freight, packages, shipment, board",27,"[AAR0002.pdf_chunk_0073]: [ANALYSIS] Therefore, the Safety Board believes that the FAA should require manufacturers of 14 CFR Part 23 and Part 25 airplanes and Part 121 operators to revise their hard landing inspection and reporting criteria to account for all factors that can contribute to structural damage. The FAA should... ||| [AAR0002.pdf_chunk_0074]: [ANALYSIS] The Board notes that the incident commander’s decision to deploy firefighting units based on the assumption that hazardous materials were likely on board the airplane was prudent and in keeping with the North American Emergency Response Guidebook. The accident at Newark was the second wit... ||| [AAR0707.pdf_chunk_0065]: [ANALYSIS] Therefore, the Safety  Board recommends that the FAA require cargo operators to designate at least one floor  level door as a required emergency exit and equip the door with an evacuation slide, when  appropriate. Further, the Safety Board recommends that the FAA require all emergency  ex...",,,,
59,59_taws_terrain_alerts_gpws,"taws, terrain, alerts, gpws, warning, inhibit, alert, ground proximity, proximity, inhibited",27,"[AAB0606.pdf_chunk_0018]: [ANALYSIS] ANALYSIS General The flight crew was performing an instrument precision approach; therefore, the presence of low cloud ceilings and reduced visibility should not have affected the pilots’ ability to fly the approach. The Houston TRACON controller did not correct the first officer when he... ||| [AAR0001.pdf_chunk_0186]: [ANALYSIS] An aural “TERRAIN TERRAIN” and “PULL UP” warning and a red visual terrain depiction on the weather radar scope would have been issued about 45 seconds before impact and would have sounded continuously until completion of a successful escape maneuver or impact. Analysis 163 Aircraft Accide... ||| [AAR1402.pdf_chunk_0079]: [ANALYSIS] However, when the UPS director of operations was asked during  the NTSB’s investigative hearing about the flight crew’s responsibility to rebrief or abandon the  approach, he stated, “it would be the expectation.” Yet the captain, when he noticed that the  airplane was not descending on t...",,,,
60,60_rotor_blade_damper_tail,"rotor, blade, damper, tail, tail rotor, rotor blade, main rotor, dr, special effects, yellow",26,"[AAR7001.pdf_chunk_0019]: [ANALYSIS AND CONCLUSIONS > ANALYSIS] Fron the physical damage found in the components of the rotor head and patterns of this damage, it is evident that the black, yellow, and blue main rotor blades, followed by the red and white, underwent a serfes of extremc excursions in their lead/lag axis. Thes... ||| [AAR7001.pdf_chunk_0020]: [ANALYSIS AND CONCLUSIONS > ANALYSIS] Another consideration in the conclusion is that, had the yellow blade pitch change control rod become detached initially, it is improbable that the extreme lead and lag excursions of the other rotor blades would have been the expected result, This is because whe... ||| [AAR7001.pdf_chunk_0021]: [ANALYSIS AND CONCLUSIONS > ANALYSIS] When the zyellow blade became detached, it would have been uncontrollable in its pitch and flap axes and free to create an extreme imbalance in the rotor head. Such imbalance could well have caused the main rotor head to displace in such a manner as to deflect t...",,,,
61,61_rudder_servo valve_servo_valve,"rudder, servo valve, servo, valve, pcu, slide, jam, main rudder, secondary slide, rudder pcu",26,"[AAR0101.pdf_chunk_0123]: [ANALYSIS] As discussed in section 1.16.3, a rudder movement initiated by the yaw damper will produce a small angular movement of the standby actuator input crank. If the crank is not free to move relative to the actuator body, the feedback loop to the MPCU servo valve will be affected so that a rud... ||| [AAR0101.pdf_chunk_0124]: [ANALYSIS] The Safety Board believes it more likely that the nut was backed off during maintenance in which the MPCU was removed from the airplane. With the MPCU removed from the control system, movement of the rudder surface from side to side would be resisted only by the standby actuator and torqu... ||| [AAR0101.pdf_chunk_0125]: [ANALYSIS] There were no indications that the galled actuator had ever been detected by flight or maintenance crews within the preceding several years. It is believed that galling occurs shortly after the unit begins operation because the condition that causes galling is the lack of clearance betwee...",,,,
62,62_emergency_ava052_controllers_flightcrew,"emergency, ava052, controllers, flightcrew, fuel, atc, jfk, controller, alternate, priority",25,"[AAR7605.pdf_chunk_0018]: [ANALYSIS] This 4ifference resulted from the unavoidable delay in communicating the vector to the pilot, and the difference between the controller's radar estimate of the aircraft's position and the position of the aircraft over the ground. Te NE AF Rr inl A A A AIRE OTN aD ec. Abin a SP  The Indian... ||| [AAR7605.pdf_chunk_0021]: [(b) PROBABLE CAUSE] Pilots should be conservative in their decisions to exercise the privileges of their airman's certificutes and consider their level of experience, recency of experience, the aircraft's capability, and pilot workload before committing themselves to a flight. It is extremely impor... ||| [AAR7803.pdf_chunk_0035]: [ANALYSIS AND CONCLUSIONS > ANALYSIS] This theory is consistent with the first officer's first request ""...get us a vector to a clear area."" They may, therefore,  have failed to turn on the emergency power, which would explain the loss of communications with air traffic control because the communica...",,,,
63,63_stabilizer_horizontal stabilizer_horizontal_continental express,"stabilizer, horizontal stabilizer, horizontal, continental express, maintenance, continental, structure, leading, express, vertical stabilizer",25,"[AAR0201.pdf_chunk_0184]: [ANALYSIS] Second, and more importantly, all maintenance and inspection tasks are subject to human error. As previously discussed, this investigation has identified several weaknesses in the lubrication and inspection procedures that could affect their intended results and compromise safety.272 Furt... ||| [AAR0404.pdf_chunk_0149]: [ANALYSIS] To evaluate and understand the circumstances of the vertical stabilizer separation on flight 587, the Safety Board examined the vertical stabilizer structure to evaluate its conformity with design specifications, analyzed the fracture and damage patterns indicated by the wreckage, calcula... ||| [AAR0404.pdf_chunk_0150]: [ANALYSIS] The airplane performance study indicated that, at 0915:58.4, when the vertical stabilizer separation began, the aerodynamic loads on the vertical stabilizer were about two times the loads defined by the limit load design envelope (see figure 15).178 Given the aerodynamic loads at the time...",,,,
64,64_fdr_fdrs_parameters_safety,"fdr, fdrs, parameters, safety, data, board, safety board, recorded, maintenance, airplanes",25,"[AAR0001.pdf_chunk_0194]: [ANALYSIS] A proper accident investigation requires a review of the practices and procedures of the responsible regulatory agency and their possible role in the accident. Because the results of such an assessment may necessitate conclusions and recommendations that are critical of, or adverse to, th... ||| [AAR0001.pdf_chunk_0195]: [ANALYSIS] In 1991, concerns about the airworthiness of FDRs resulted in two safety recommendations to the FAA (A-91-23 and -24) aimed at developing a permanent policy for FDR maintenance and record-keeping. Safety Recommendation A-97-30 asked the FAA to publish, by January 1998, a promised AC addre... ||| [AAR0001.pdf_chunk_0196]: [ANALYSIS] Section 3 of the attachment, entitled “Inspections of flight data and cockpit voice recorder systems,” provides guidance to Member States on the continued airworthiness of FDR systems, such as details on how to conduct annual checks of every FDR parameter, including recorded signal and tr...",,,,
65,65_plug_med_med plug_removal,"plug, med, med plug, removal, left med, boeing, production, boeings, bolts, manufacturing",24,"[AIR2504.pdf_chunk_0069]: [ANALYSIS] Aviation Investigation Report  AIR-25-04    79 2 Analysis  2.1 Introduction  The airplane experienced an in-flight separation of the left MED plug and rapid  depressurization during climb about 6 minutes after takeoff from PDX. Alaska Airlines  had taken delivery of the newly manufactured... ||| [AIR2504.pdf_chunk_0070]: [ANALYSIS] There was no evidence that,  since delivery, Alaska Airlines performed any maintenance, inspection, or retrofit  work on the airplane that would involve opening the left MED plug. Flight crew routine preflight walkaround inspection procedures. Based on an  examination of the accident airp... ||| [AIR2504.pdf_chunk_0074]: [ANALYSIS] For  a plug to move outboard, it first has to move vertically upward enough for its stop  fittings to clear the frame stop pads. On a normal MED plug installation, plug vertical  movement is prevented by four bolts: two vertical movement arrestor bolts and two  upper guide track bolts. Ba...",,,,
66,66_runway_rsa_emas_airport,"runway, rsa, emas, airport, rsas, special, airports, runways, safety, faa",24,"[AAR0001.pdf_chunk_0158]: [ANALYSIS] The Safety Board addressed the issue of the classification of special airports and approaches to certain airports in connection with its investigation of the October 19, 1996, accident involving Delta Air Lines flight 554, an MD-88, at LaGuardia Airport in New York. On August 25, 1997, th... ||| [AAR0102.pdf_chunk_0179]: [ANALYSIS] Aircraft Accident Report NTSB/AAR/89-04. Washington, DC. Analysis 158 Aircraft Accident Report 2.5 Airport Factors 2.5.1 Runway Safety Areas Runway 4R/22L, which was opened in September 1991, has runway safety areas of 1,000 feet at the departure end of 22L and 450 feet at the departure e... ||| [AAR0102.pdf_chunk_0180]: [ANALYSIS] As with runway 4R/22L in Little Rock, runway 8/26 in Burbank was exempt, under 14 CFR 139.309(a)(1), from the 1,000-foot runway safety area standard in AC 150/5300-13. On December 13, 1994, the Safety Board issued Safety Recommendation A-94-211, which asked the FAA, among other things, to...",,,,
67,67_boss_air_fighter_boeing b17g,"boss, air, fighter, boeing b17g, b17g, caf, report air2407, air2407, p63f, bell p63f",23,"[AIR-24-07.pdf_chunk_0047]: [ANALYSIS] 2. Analysis  2.1 Introduction  The accident occurred when two CAF-operated warbird airplanes, a  Boeing B-17G bomber and a Bell P-63F fighter, collided in flight during an air boss– directed warbird performance that included multiple, dissimilar aircraft at the CAF’s  Wings Over Dallas ai... ||| [AIR-24-07.pdf_chunk_0048]: [ANALYSIS] The NTSB reviewed their  FAA medical certification information and the autopsy and toxicology  reports for all personnel on board both airplanes. Considering the  autopsies’ limitations (due to the severity of some injuries) and the  operational circumstances of the accident, our evaluati... ||| [AIR-24-07.pdf_chunk_0049]: [ANALYSIS] Although CAF’s chief aviation officer stated that the scanners’ role  during the air show included looking for traffic, per the CAF’s  loadmaster operations manual and training agenda, their primary  in-flight responsibilities involved monitoring engine and tailwheel  operations, and ther...",,,,
68,68_mode_777_spd_pf,"mode, 777, spd, pf, flch, flch spd, pm, asiana, fd, flight director",23,"[AAR0602.pdf_chunk_0052]: [ANALYSIS] Research on the use of automated flight systems in transport-category aircraft found that the reprogramming of automated flight control systems is prone to human error because reprogramming involves multiple, complex steps.105  The accident pilots might not have chosen to use the coupling... ||| [AAR0602.pdf_chunk_0055]: [ANALYSIS] In such systems, only one set of commands guides flight director command cues, which are presented simultaneously for both pilot stations. Analysis 49 Aircraft Accident Report wants to program the flight director in advance of the subsequent phase of flight. However, only one pilot statio... ||| [AAR0602.pdf_chunk_0056]: [ANALYSIS] The ability to engage only one or two axes, instead of all three, can be beneficial in certain circumstances, such as search and rescue, when a pilot may engage a roll function on the flight director mode selector (such as heading) but need to make pitch control inputs to maintain a certa...",,,,
69,69_takeoff_tire_rejected_v1,"takeoff, tire, rejected, v1, rto, rejected takeoff, speed, airplane, runway, captain",22,"[AAR0604.pdf_chunk_0053]: [ANALYSIS] Both pilots indicated that the flight controls operated freely and normally during the preflight control checks and that no anomalies were noted before the takeoff roll was initiated about 1 minute later. Witness reports, statements from the pilots and passengers, airplane performance cal... ||| [AAR0604.pdf_chunk_0057]: [ANALYSIS] During the accident takeoff, the airplane had accelerated beyond both its safe RTO speed for the accident runway and its expected rotation speed, and its nose never began to lift off the runway. The captain 92 The FBO’s fuel records indicated that another airplane was defueled earlier on... ||| [AAR1002.pdf_chunk_0056]: [ANALYSIS] Although such disapprovals can be an indication of pilot competency problems, they must be  assessed in the context of the pilot’s career as a whole. In the case of the accident captain, three  of these disapproval notices were issued about 11 years before the accident (when the captain...",,,,
70,70_flap_piper_page_add,"flap, piper, page, add, flaps, 25, delete, paragraph, service bulletin, bulletin",22,"[AAR8211.pdf_chunk_0017]: [FINDINGS] The asymmetric flap condition cowd not be corrected by reising the flaps since the flap motor would be deactivated as soon as the left flap contacted the up-limit switch,  11, Moderate turbulence and low level wind shear were present in the Ithaea area at the tine of the accident,  12, ‘P... ||| [AAR8211.pdf_chunk_0018]: [FINDINGS] Part 3 dessiocs the ayproprinte Piper Modification kits which provide imitructiom, placards, and hardware for positive restriction of flop travel, aml inoorporetes information regarding permanent Pilot's Operating Handbook/Atroraft Flight Manual revisions, Compliance time fs on or before... ||| [AAR8211.pdf_chunk_0026]: [FINDINGS] Qa or before August 1, 1982,  Purpose; Recent field reports ie been received indicating flap system malfunctions which were the of failures of the wing flap flexible shaft assemblies. Should such a failure occur, an asymmetric (“eplit flap"") condition could result. An asymmetric flap cond...",,,,
71,71_landing distance_distance_landing_assessments,"landing distance, distance, landing, assessments, distance assessments, arrival, arrival landing, margin, safety margin, safo",21,"[AAR0706.pdf_chunk_0050]: [ANALYSIS] Pilots use a variety of aids  to accomplish airplane performance calculations, including tabular performance charts. The information on tabular charts is designed to be clear and readily available;75 however,  pilots must survey rows and columns and select the most appropriate value, appl... ||| [AAR0706.pdf_chunk_0051]: [ANALYSIS] Calculations based on the 5-knot tailwind limit  resulted in more favorable displayed stopping margins. If the OPC calculations had been  based on the actual 8-knot tailwind component, the stopping margin would have been  -260 feet (or 260 feet beyond the departure end of the runway), ind... ||| [AAR0706.pdf_chunk_0052]: [ANALYSIS] Therefore, they had to be aware of differences between the models, as  they switched between these models on a day-by-day or flight-by-flight basis. 78  At the time of the accident, the information was correct in two of the three FOM locations.  79  Air distance is the distance allowance...",,,,
72,72_traffic_alerting_aural_adsb,"traffic, alerting, aural, adsb, collision, dhc3, alerts, visual, 71, cdti",21,"[AAR2104.pdf_chunk_0000]: [PROBABLE CAUSE] Probable Cause  The National Transportation Safety Board determines that the probable cause of this  accident was the inherent limitations of the see-and-avoid concept, which prevented the two pilots  from seeing the other airplane before the collision, and the absence of visual and... ||| [AAR2104.pdf_chunk_0001]: [PROBABLE CAUSE] Had these limitations not existed, aural traffic alerts  in each airplane would have occurred early enough for the pilots to have prevented the  collision.  • The loss of alerting capabilities with ADS-B systems installed as part of the FAA’s  post-Capstone upgrade program. The DHC-... ||| [AAR2104.pdf_chunk_0002]: [FINDINGS] Had an SMS been established at Taquan Air at the  time of the accident, it would have provided the operator better opportunities to identify  and mitigate the increased risk of an airborne collision posed by the loss of alerting in  the upgraded ADS-B components provided by the FAA and th...",,,,
73,73_certification_airworthiness_faa_type certification,"certification, airworthiness, faa, type certification, afm, revision, aeg, cc, stc, atr",20,"[AAR0102.pdf_chunk_0187]: [ANALYSIS] In an April 20, 2000, letter to the Safety Board, Boeing indicated that it could not Analysis 164 Aircraft Accident Report find any record of issuing a letter of no technical objection to American regarding alteration of the manufacturer’s recommended spoiler deployment or autobrake proce... ||| [AAR1002.pdf_chunk_0073]: [ANALYSIS] From a certification basis, the Learjet 24 and the Learjet 60 are the same type  of airplane; however, they share few similarities or structural components.    84 Safety Recommendation A-06-36 is discussed in section 1.18.3.2.  NTSB  Aircraft Accident Report  Since the certification of th... ||| [AAR7909.pdf_chunk_0029]: [ANALYSIS] Instead, the aircraft was accepted unconditionally because it was recently >verhauled. in addition, the failure to use the proper engines and the failure to deterr {ne a proper zero--thrust setting completely invalidated the basis of the STC, and further underscore the lack of careful pre...",,,,
74,74_power_engine_pilot_loss,"power, engine, pilot, loss, airplane, accident, control, captain, aircraft, flight",20,"[AAB0702.pdf_chunk_0009]: [ANALYSIS] ANALYSIS  There were no system, structural, or engine malfunctions found. The engine was  producing power as indicated by the separation of the propeller hub, damage to the blade hubs,  and damage to the No. 2 blade. The pilot/owner was properly certificated to fly the accident  airplane.... ||| [AAR0403.pdf_chunk_0049]: [ANALYSIS] Airplane performance calculations show that the windmilling propeller and the protruding magnetos alone were not sufficient to cause the airplane to descend as rapidly as it did. Other factors that were most likely caused or controlled by the pilot, including not flying at the recommended... ||| [AAR1103.pdf_chunk_0062]: [ANALYSIS] Ercoline, eds., Spatial Disorientation in  Aviation (Reston, Virginia: American Institute of Aeronautics and Astronautics, 2004), pp. 260-263. NTSB  Aircraft Accident Report  52  did not have any injuries noted on autopsy that would indicate that he was on the flight controls  at the time...",,,,
75,75_spoiler_spoilers_extended_autospoiler,"spoiler, spoilers, extended, autospoiler, spoiler handle, actuator, handle, arming, spoilers extended, md80",20,"[AAR0102.pdf_chunk_0143]: [ANALYSIS] FDR data from the airplane’s previous landing showed that the left outboard and right inboard flight spoilers (the only two spoiler parameters recorded) deployed upon touchdown and remained fully deflected for about 33 seconds. Also, FDR data from the accident flight indicated that the fl... ||| [AAR0102.pdf_chunk_0144]: [ANALYSIS] As the chief pilot at American’s Chicago base of operations, the captain was required to fly less frequently than line pilots. However, the captain had become a chief pilot only months before the accident and had flown 54 hours in the 90 days before the accident flight. Thus, it is likely... ||| [AAR0102.pdf_chunk_0145]: [ANALYSIS] Teardown of the autospoiler actuator revealed that the actuator was in the fully extended (deployed) position, which was consistent with proper autospoiler operation with the autospoiler handle in the unarmed position. Thus, the spoiler handle was actually in the stowed position at impact...",,,,
